,experiment,attn,shot_meta,shot,eval_bs,video,miou,step,rel_diff
412,ts-meta8-shot2-n128,ts,8,2,128,horsejump-high,0.5224938988685608,100,-1.8593008762697367
413,ts-meta8-shot2-n128,ts,8,2,128,kite-surf,0.3863443732261657,300,-8.01230820058985
414,ts-meta8-shot2-n128,ts,8,2,128,libby,0.4571444988250732,300,17.116235574657516
415,ts-meta8-shot2-n128,ts,8,2,128,motocross-jump,0.480694830417633,500,123.16684851773626
416,ts-meta8-shot2-n128,ts,8,2,128,paragliding-launch,0.48188316822052,1000,-2.8236074700976133
417,ts-meta8-shot2-n128,ts,8,2,128,parkour,0.4746456146240234,300,47.435669801859106
418,ts-meta8-shot2-n128,ts,8,2,128,scooter-black,0.4930334091186523,500,-7.285365905874301
419,ts-meta8-shot2-n128,ts,8,2,128,soapbox,0.5862284302711487,100,-0.522608031535708
420,ts-meta8-shot2-n16,ts,8,2,16,blackswan,0.7030627727508545,700,-3.1405207061817384
421,ts-meta8-shot2-n16,ts,8,2,16,bmx-trees,0.3552408218383789,700,30.440393075222694
422,ts-meta8-shot2-n16,ts,8,2,16,breakdance,0.490881085395813,500,8.06479464637188
423,ts-meta8-shot2-n16,ts,8,2,16,camel,0.5934010148048401,900,-0.014411896211850657
424,ts-meta8-shot2-n16,ts,8,2,16,car-roundabout,0.797764003276825,300,2.623692932297966
425,ts-meta8-shot2-n16,ts,8,2,16,car-shadow,0.767991304397583,600,-2.727854030887605
426,ts-meta8-shot2-n16,ts,8,2,16,cows,0.7125040888786316,100,0.7103827990964416
427,ts-meta8-shot2-n16,ts,8,2,16,dance-twirl,0.4819304943084717,300,2.017782528668107
428,ts-meta8-shot2-n16,ts,8,2,16,dog,0.6702942252159119,500,-3.33630169308249
429,ts-meta8-shot2-n16,ts,8,2,16,drift-chicane,0.465981125831604,1000,1.7908624143623146
430,ts-meta8-shot2-n16,ts,8,2,16,drift-straight,0.0566138625144958,500,-77.78339403885217
431,ts-meta8-shot2-n16,ts,8,2,16,goat,0.6250131726264954,200,-2.669330471265634
432,ts-meta8-shot2-n16,ts,8,2,16,horsejump-high,0.5181416273117065,900,-2.676793624588799
433,ts-meta8-shot2-n16,ts,8,2,16,kite-surf,0.412433385848999,200,-1.800575304210302
434,ts-meta8-shot2-n16,ts,8,2,16,libby,0.4470495581626892,200,14.53000419318714
435,ts-meta8-shot2-n16,ts,8,2,16,motocross-jump,0.3666738867759704,600,70.23161175760559
436,ts-meta8-shot2-n16,ts,8,2,16,paragliding-launch,0.4837194681167602,600,-2.453299870065411
437,ts-meta8-shot2-n16,ts,8,2,16,parkour,0.4607859849929809,100,43.13055517549294
438,ts-meta8-shot2-n16,ts,8,2,16,scooter-black,0.6255239844322205,500,17.6294065698414
439,ts-meta8-shot2-n16,ts,8,2,16,soapbox,0.5791915655136108,300,-1.7166970889205375
440,ts-meta8-shot2-n2,ts,8,2,2,blackswan,0.7183313369750977,700,-1.0370027307697518
441,ts-meta8-shot2-n2,ts,8,2,2,bmx-trees,0.3219658732414245,700,18.222210063250948
442,ts-meta8-shot2-n2,ts,8,2,2,breakdance,0.4677854776382446,500,2.980422516730088
443,ts-meta8-shot2-n2,ts,8,2,2,camel,0.5824601054191589,600,-1.8579093490723964
444,ts-meta8-shot2-n2,ts,8,2,2,car-roundabout,0.7712073922157288,300,-0.7925272627246814
445,ts-meta8-shot2-n2,ts,8,2,2,car-shadow,0.7632707357406616,400,-3.325751221681266
446,ts-meta8-shot2-n2,ts,8,2,2,cows,0.7088779211044312,200,0.19783451995852233
447,ts-meta8-shot2-n2,ts,8,2,2,dance-twirl,0.4679508209228515,100,-0.941514083849525
448,ts-meta8-shot2-n2,ts,8,2,2,dog,0.6737217307090759,800,-2.842018221029912
449,ts-meta8-shot2-n2,ts,8,2,2,drift-chicane,0.4612030982971191,1000,0.7471301333459596
450,ts-meta8-shot2-n2,ts,8,2,2,drift-straight,0.2568930387496948,500,0.8108467180192225
451,ts-meta8-shot2-n2,ts,8,2,2,goat,0.6355913877487183,300,-1.022029573688853
452,ts-meta8-shot2-n2,ts,8,2,2,horsejump-high,0.4956028461456299,100,-6.910281797035333
453,ts-meta8-shot2-n2,ts,8,2,2,kite-surf,0.4192501902580261,600,-0.17751011550788146
454,ts-meta8-shot2-n2,ts,8,2,2,libby,0.4077142477035522,200,4.452657756831185
455,ts-meta8-shot2-n2,ts,8,2,2,motocross-jump,0.3469640016555786,300,61.081122364693016
456,ts-meta8-shot2-n2,ts,8,2,2,paragliding-launch,0.4769406318664551,800,-3.820317636608623
457,ts-meta8-shot2-n2,ts,8,2,2,parkour,0.4715875387191772,900,46.48576221724344
458,ts-meta8-shot2-n2,ts,8,2,2,scooter-black,0.3429102897644043,200,-35.515927613404024
459,ts-meta8-shot2-n2,ts,8,2,2,soapbox,0.5893217325210571,200,0.002295955547873151
460,ts-meta8-shot2-n32,ts,8,2,32,blackswan,0.710670530796051,700,-2.0924158833820488
461,ts-meta8-shot2-n32,ts,8,2,32,bmx-trees,0.3395256996154785,200,24.66997877043619
462,ts-meta8-shot2-n32,ts,8,2,32,breakdance,0.4756287336349487,100,4.70707256265582
463,ts-meta8-shot2-n32,ts,8,2,32,camel,0.598431408405304,1000,0.833188377443444
464,ts-meta8-shot2-n32,ts,8,2,32,car-roundabout,0.8057827949523926,600,3.6552235744695536
465,ts-meta8-shot2-n32,ts,8,2,32,car-shadow,0.7627541422843933,1000,-3.391181850644228
466,ts-meta8-shot2-n32,ts,8,2,32,cows,0.7145016193389893,200,0.9927279258901544
467,ts-meta8-shot2-n32,ts,8,2,32,dance-twirl,0.5018775463104248,100,6.240287718225098
468,ts-meta8-shot2-n32,ts,8,2,32,dog,0.6680362224578857,700,-3.661930184522525
469,ts-meta8-shot2-n32,ts,8,2,32,drift-chicane,0.4794453978538513,900,4.732054202935762
470,ts-meta8-shot2-n32,ts,8,2,32,drift-straight,0.2493462562561035,200,-2.150687533272633
471,ts-meta8-shot2-n32,ts,8,2,32,goat,0.6323064565658569,200,-1.533578074403055
472,ts-meta8-shot2-n32,ts,8,2,32,horsejump-high,0.5109038949012756,400,-4.036266185643256
473,ts-meta8-shot2-n32,ts,8,2,32,kite-surf,0.3907409906387329,600,-6.965483876140856
474,ts-meta8-shot2-n32,ts,8,2,32,libby,0.4472327828407287,200,14.576944678332463
475,ts-meta8-shot2-n32,ts,8,2,32,motocross-jump,0.4228800535202026,300,96.32582435538802
476,ts-meta8-shot2-n32,ts,8,2,32,paragliding-launch,0.4848648309707641,400,-2.222326394272792
477,ts-meta8-shot2-n32,ts,8,2,32,parkour,0.4403045773506164,300,36.76856643863526
478,ts-meta8-shot2-n32,ts,8,2,32,scooter-black,0.4925898909568786,300,-7.36876922768256
479,ts-meta8-shot2-n32,ts,8,2,32,soapbox,0.579051673412323,300,-1.7404354487040543
480,ts-meta8-shot2-n8,ts,8,2,8,blackswan,0.7171790599822998,700,-1.1957495082274139
481,ts-meta8-shot2-n8,ts,8,2,8,bmx-trees,0.3428516387939453,600,25.891225843163863
482,ts-meta8-shot2-n8,ts,8,2,8,breakdance,0.48543381690979,900,6.8656081879018505
483,ts-meta8-shot2-n8,ts,8,2,8,camel,0.5909682512283325,1000,-0.4243223797565786
484,ts-meta8-shot2-n8,ts,8,2,8,car-roundabout,0.7943797707557678,500,2.1883480964493764
485,ts-meta8-shot2-n8,ts,8,2,8,car-shadow,0.7761204242706299,400,-1.6982369891794482
486,ts-meta8-shot2-n8,ts,8,2,8,cows,0.7060639262199402,200,-0.19991548096822145
487,ts-meta8-shot2-n8,ts,8,2,8,dance-twirl,0.4929537177085876,100,4.351241027100756
488,ts-meta8-shot2-n8,ts,8,2,8,dog,0.6410848498344421,700,-7.548610472407577
489,ts-meta8-shot2-n8,ts,8,2,8,drift-chicane,0.4691452383995056,1000,2.482044372618752
490,ts-meta8-shot2-n8,ts,8,2,8,drift-straight,0.1379193067550659,200,-45.87723295107413
491,ts-meta8-shot2-n8,ts,8,2,8,goat,0.6282796263694763,300,-2.160659384458048
492,ts-meta8-shot2-n8,ts,8,2,8,horsejump-high,0.5240887403488159,100,-1.5597397556467054
493,ts-meta8-shot2-n8,ts,8,2,8,kite-surf,0.3991533517837524,200,-4.962520359805694
494,ts-meta8-shot2-n8,ts,8,2,8,libby,0.4268245100975036,200,9.348532033292624
495,ts-meta8-shot2-n8,ts,8,2,8,motocross-jump,0.3240424394607544,600,50.439583337368866
496,ts-meta8-shot2-n8,ts,8,2,8,paragliding-launch,0.4786691069602966,100,-3.471753948821885
497,ts-meta8-shot2-n8,ts,8,2,8,parkour,0.4816890358924866,1000,49.6235158504002
498,ts-meta8-shot2-n8,ts,8,2,8,scooter-black,0.5376973748207092,700,1.1136658040888363
499,ts-meta8-shot2-n8,ts,8,2,8,soapbox,0.5737274885177612,300,-2.6438990139629497
500,ts-meta8-shot4-n128,ts,8,4,128,blackswan,0.740172803401947,500,-1.0652698679682011
501,ts-meta8-shot4-n128,ts,8,4,128,bmx-trees,0.3883591890335083,600,9.560887842609736
502,ts-meta8-shot4-n128,ts,8,4,128,breakdance,0.5615172386169434,400,0.4326279581860137
503,ts-meta8-shot4-n128,ts,8,4,128,camel,0.642951250076294,900,0.19474332354384177
504,ts-meta8-shot4-n128,ts,8,4,128,car-roundabout,0.8797785639762878,900,6.4858902670271545
505,ts-meta8-shot4-n128,ts,8,4,128,car-shadow,0.8210436701774597,900,0.2982189288234125
506,ts-meta8-shot4-n128,ts,8,4,128,cows,0.7092390656471252,1000,-1.2988851862438562
507,ts-meta8-shot4-n128,ts,8,4,128,dance-twirl,0.5801993012428284,400,7.4783941920478965
508,ts-meta8-shot4-n128,ts,8,4,128,dog,0.7291089296340942,400,0.5478321553013086
509,ts-meta8-shot4-n128,ts,8,4,128,drift-chicane,0.6874939203262329,400,-0.022484516541288472
510,ts-meta8-shot4-n128,ts,8,4,128,drift-straight,0.667498767375946,700,-7.6349037177897054
511,ts-meta8-shot4-n128,ts,8,4,128,goat,0.621645450592041,400,-6.749433427622731
512,ts-meta8-shot4-n128,ts,8,4,128,horsejump-high,0.5583875775337219,900,-2.0137094363454446
513,ts-meta8-shot4-n128,ts,8,4,128,kite-surf,0.4154062271118164,1000,-6.15517031505672
514,ts-meta8-shot4-n128,ts,8,4,128,libby,0.4766085147857666,200,8.152847840341767
515,ts-meta8-shot4-n128,ts,8,4,128,motocross-jump,0.6674075722694397,200,-2.5304116937311525
516,ts-meta8-shot4-n128,ts,8,4,128,paragliding-launch,0.4969625473022461,600,-1.1659660391542968
517,ts-meta8-shot4-n128,ts,8,4,128,parkour,0.5547351241111755,200,11.620531657981935
518,ts-meta8-shot4-n128,ts,8,4,128,scooter-black,0.6796251535415649,400,1.010922649188916
519,ts-meta8-shot4-n128,ts,8,4,128,soapbox,0.6388520002365112,500,-0.5678993974974799
520,st-meta8-shot2-n16-xdec,st,8,2,16,blackswan,0.6188809871673584,800,-14.738068227775184
521,st-meta8-shot2-n16-xdec,st,8,2,16,bmx-trees,0.2505476474761963,200,-8.001750891860542
522,st-meta8-shot2-n16-xdec,st,8,2,16,breakdance,0.4373771548271179,900,-3.7138039627345374
523,st-meta8-shot2-n16-xdec,st,8,2,16,car-roundabout,0.7792840600013733,900,0.24644851375260454
524,st-meta8-shot2-n16-xdec,st,8,2,16,camel,0.539482057094574,900,-9.099530664297022
525,st-meta8-shot2-n16-xdec,st,8,2,16,car-shadow,0.7075268030166626,300,-10.38615923642373
526,st-meta8-shot2-n16-xdec,st,8,2,16,cows,0.6763405799865723,800,-4.401224110570304
527,st-meta8-shot2-n16-xdec,st,8,2,16,dance-twirl,0.4209142923355102,300,-10.898473440016405
528,st-meta8-shot2-n16-xdec,st,8,2,16,dog,0.6243308782577515,800,-9.964714912827354
529,st-meta8-shot2-n16-xdec,st,8,2,16,drift-chicane,0.4380528926849365,400,-4.309897423571564
530,st-meta8-shot2-n16-xdec,st,8,2,16,drift-straight,0.3783272504806518,300,48.46447627806715
531,st-meta8-shot2-n16-xdec,st,8,2,16,goat,0.5833882093429565,600,-9.151410726423562
532,st-meta8-shot2-n16-xdec,st,8,2,16,horsejump-high,0.4453363418579101,800,-16.351903764268684
533,st-meta8-shot2-n16-xdec,st,8,2,16,kite-surf,0.3548086881637573,1000,-15.520881067796857
534,st-meta8-shot2-n16-xdec,st,8,2,16,libby,0.4535422325134277,300,16.193367923309573
535,st-meta8-shot2-n16-xdec,st,8,2,16,motocross-jump,0.2401692867279052,300,11.500726527998644
536,st-meta8-shot2-n16-xdec,st,8,2,16,paragliding-launch,0.4270195960998535,700,-13.887376390847123
537,st-meta8-shot2-n16-xdec,st,8,2,16,parkour,0.2598755955696106,100,-19.276758664856438
538,st-meta8-shot2-n16-xdec,st,8,2,16,scooter-black,0.4847453832626343,600,-8.843924150389606
539,st-meta8-shot2-n16-xdec,st,8,2,16,soapbox,0.5578429698944092,100,-5.3393508271660295
540,st-meta8-shot2-n16-xfc,st,8,2,16,blackswan,0.6055164933204651,200,-16.579266432553762
541,st-meta8-shot2-n16-xfc,st,8,2,16,bmx-trees,0.0838982462882995,500,-69.19351732288636
542,st-meta8-shot2-n16-xfc,st,8,2,16,breakdance,0.416476845741272,500,-8.314893058653709
543,st-meta8-shot2-n16-xfc,st,8,2,16,camel,0.5143154859542847,800,-13.339992600219421
544,st-meta8-shot2-n16-xfc,st,8,2,16,car-roundabout,0.7263221740722656,1000,-6.566524115219395
545,st-meta8-shot2-n16-xfc,st,8,2,16,car-shadow,0.6656120419502258,800,-15.694993767972285
546,st-meta8-shot2-n16-xfc,st,8,2,16,cows,0.6305965781211853,900,-10.867005866119563
547,st-meta8-shot2-n16-xfc,st,8,2,16,dance-twirl,0.3851872682571411,200,-18.461372687663115
548,st-meta8-shot2-n16-xfc,st,8,2,16,dog,0.6267026662826538,900,-9.622677351615678
549,st-meta8-shot2-n16-xfc,st,8,2,16,drift-chicane,0.3741905689239502,500,-18.260250025975473
550,st-meta8-shot2-n16-xfc,st,8,2,16,drift-straight,0.2119476199150085,0,-16.82678858293391
551,st-meta8-shot2-n16-xfc,st,8,2,16,goat,0.3021988868713379,700,-52.93983986541871
552,st-meta8-shot2-n16-xfc,st,8,2,16,horsejump-high,0.3494035601615906,700,-34.37108118423205
553,st-meta8-shot2-n16-xfc,st,8,2,16,kite-surf,0.3331149816513061,200,-20.686101857711208
554,st-meta8-shot2-n16-xfc,st,8,2,16,libby,0.1233716607093811,200,-68.39330995776578
555,st-meta8-shot2-n16-xfc,st,8,2,16,motocross-jump,0.4799728393554687,500,122.83165774844673
556,st-meta8-shot2-n16-xfc,st,8,2,16,paragliding-launch,0.4058068990707397,700,-18.16512151469368
557,st-meta8-shot2-n16-xfc,st,8,2,16,scooter-black,0.3880162239074707,300,-27.033784005684115
558,st-meta8-shot2-n16-xfc,st,8,2,16,parkour,0.2264009714126587,100,-29.674734505958632
559,st-meta8-shot2-n16-xfc,st,8,2,16,soapbox,0.4995683431625366,100,-15.228001028830828
560,ts-meta8-shot2-n8-xtime,ts,8,2,8,blackswan,0.7031399607658386,700,-3.1298866757240686
561,ts-meta8-shot2-n8-xtime,ts,8,2,8,bmx-trees,0.1567751169204712,400,-42.4339585476352
562,ts-meta8-shot2-n8-xtime,ts,8,2,8,breakdance,0.3747689723968506,200,-17.496653982416994
563,ts-meta8-shot2-n8-xtime,ts,8,2,8,camel,0.5696860551834106,900,-4.010283364995985
564,ts-meta8-shot2-n8-xtime,ts,8,2,8,car-roundabout,0.7498562335968018,300,-3.5391224172533895
565,ts-meta8-shot2-n8-xtime,ts,8,2,8,car-shadow,0.7046900391578674,400,-10.745457716201535
566,ts-meta8-shot2-n8-xtime,ts,8,2,8,cows,0.709279477596283,300,0.25459336336881805
567,ts-meta8-shot2-n8-xtime,ts,8,2,8,dance-twirl,0.3688580989837646,100,-21.918023925712507
568,ts-meta8-shot2-n8-xtime,ts,8,2,8,dog,0.6774088740348816,900,-2.310292157083535
569,ts-meta8-shot2-n8-xtime,ts,8,2,8,drift-chicane,0.3724508881568908,200,-18.640273155214075
570,ts-meta8-shot2-n8-xtime,ts,8,2,8,drift-straight,0.1042282581329345,0,-59.098389721010356
571,ts-meta8-shot2-n8-xtime,ts,8,2,8,goat,0.5363129377365112,100,-16.482244546210016
572,ts-meta8-shot2-n8-xtime,ts,8,2,8,horsejump-high,0.3045271635055542,600,-42.800272322184775
573,ts-meta8-shot2-n8-xtime,ts,8,2,8,kite-surf,0.4045423865318298,600,-3.679403788538179
574,ts-meta8-shot2-n8-xtime,ts,8,2,8,libby,0.2678055167198181,100,-31.390678297645426
575,ts-meta8-shot2-n8-xtime,ts,8,2,8,motocross-jump,0.3535332679748535,300,64.13096265582445
576,ts-meta8-shot2-n8-xtime,ts,8,2,8,paragliding-launch,0.4899941086769104,1000,-1.1879580314848002
577,ts-meta8-shot2-n8-xtime,ts,8,2,8,parkour,0.1676864624023437,100,-47.912789796704686
578,ts-meta8-shot2-n8-xtime,ts,8,2,8,scooter-black,0.5106943249702454,300,-3.964241372194805
579,ts-meta8-shot2-n8-xtime,ts,8,2,8,soapbox,0.354129433631897,100,-39.907601443559294
580,ts-meta8-shot1-n8-xtime,ts,8,1,8,blackswan,0.6232092976570129,100,-8.670629038459825
581,ts-meta8-shot1-n8-xtime,ts,8,1,8,bmx-trees,0.1451936364173889,100,-46.12443236959652
582,ts-meta8-shot1-n8-xtime,ts,8,1,8,breakdance,0.342366099357605,200,-11.698905404323071
583,ts-meta8-shot1-n8-xtime,ts,8,1,8,camel,0.1271477937698364,0,-76.86876091128919
584,ts-meta8-shot1-n8-xtime,ts,8,1,8,car-roundabout,0.6529625058174133,200,-8.489714703144168
585,ts-meta8-shot1-n8-xtime,ts,8,1,8,car-shadow,0.6528588533401489,400,0.24076480990031343
586,ts-meta8-shot1-n8-xtime,ts,8,1,8,dance-twirl,0.1048591136932373,100,-58.721564299081905
587,ts-meta8-shot1-n8-xtime,ts,8,1,8,cows,0.6752637028694153,600,-3.9794995477841426
588,ts-meta8-shot1-n8-xtime,ts,8,1,8,dog,0.549167811870575,200,-16.288515339991843
589,ts-meta8-shot1-n8-xtime,ts,8,1,8,drift-chicane,0.0185176730155944,0,-44.808332533904846
590,ts-meta8-shot1-n8-xtime,ts,8,1,8,drift-straight,0.1036837100982666,0,-50.619946030432104
591,ts-meta8-shot1-n8-xtime,ts,8,1,8,goat,0.3147453069686889,100,-34.46609141003238
592,ts-meta8-shot1-n8-xtime,ts,8,1,8,horsejump-high,0.3024955987930298,200,-45.3991184733287
593,ts-meta8-shot1-n8-xtime,ts,8,1,8,kite-surf,0.3990863561630249,100,-4.935826026756596
594,ts-meta8-shot1-n8-xtime,ts,8,1,8,motocross-jump,0.222273051738739,0,7.358430597611763
595,ts-meta8-shot1-n8-xtime,ts,8,1,8,libby,0.1763911247253418,200,-53.138002697055086
596,ts-meta8-shot1-n8-xtime,ts,8,1,8,paragliding-launch,0.4729894399642944,1000,-1.859360680898218
597,ts-meta8-shot1-n8-xtime,ts,8,1,8,parkour,0.0929582118988037,0,-15.844899232201612
598,ts-meta8-shot1-n8-xtime,ts,8,1,8,scooter-black,0.0974133610725402,0,101.67763908855878
599,ts-meta8-shot1-n8-xtime,ts,8,1,8,soapbox,0.1304956674575805,0,122.16208208013192
